date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:52	14036/14036	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2012:53:51%20GMT	http://127.0.0.1:8000/robots.txt		(from )
12:53:53	44917/44917	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2012:53:52%20GMT	http://127.0.0.1:8000/home/	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/home/index.html	(from )
12:53:57	32078/32078	---M--	200	added ('OK')	image/png	etag:%22655b782a-7d4e%22	http://127.0.0.1:8000/static/images/favicons/apple-touch-icon.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/apple-touch-icon.png	(from http://127.0.0.1:8000/home/)
12:53:57	2226/2226	---M--	200	added ('OK')	image/png	etag:%22655b782a-8b2%22	http://127.0.0.1:8000/static/images/favicons/favicon-32x32.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/favicon-32x32.png	(from http://127.0.0.1:8000/home/)
12:53:57	843/843	---M--	200	added ('OK')	image/png	etag:%22655b782a-34b%22	http://127.0.0.1:8000/static/images/favicons/favicon-16x16.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/favicon-16x16.png	(from http://127.0.0.1:8000/home/)
12:53:58	264/264	---M--	200	added ('OK')	application/octet-stream	etag:%22655b782a-108%22	http://127.0.0.1:8000/static/images/favicons/site.webmanifest	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/site.webmanifest	(from http://127.0.0.1:8000/home/)
12:53:59	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%22655b782a-3c2e%22	http://127.0.0.1:8000/static/images/favicons/favicon.ico	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/favicons/favicon.ico	(from http://127.0.0.1:8000/home/)
12:54:01	18065/18065	---M-Z	200	added ('OK')	text/css	etag:W/%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	/home/ana/websites/pycon2023_newtry/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.css	(from http://127.0.0.1:8000/home/)
12:54:01	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%226161dfe3-5ccc%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	/home/ana/websites/pycon2023_newtry/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	(from http://127.0.0.1:8000/home/)
12:54:02	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	/home/ana/websites/pycon2023_newtry/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	(from http://127.0.0.1:8000/home/)
